input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.000059,4,6.000000,0.000040
8,12.000000,0.000040,8,12.000000,0.000029
16,24.000000,0.000040,16,24.000000,0.000059
32,48.000000,0.000050,32,48.000000,0.000059
64,96.000000,0.000051,64,96.000000,0.000059
128,192.000000,0.000081,128,192.000000,0.000100
256,384.000000,0.000140,256,384.000000,0.000150
512,768.000000,0.000270,512,768.000000,0.000271
1024,1536.000000,0.000510,1024,1536.000000,0.000531
2048,3072.000000,0.001012,2048,3072.000000,0.001012
4096,6144.000000,0.005410,4096,6144.000000,0.002014
8192,12288.000000,0.003997,8192,12288.000000,0.003997
