input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.004719,4,6.000000,0.004799
8,12.000000,0.005010,8,12.000000,0.004588
16,24.000000,0.005260,16,24.000000,0.005220
32,48.000000,0.005270,32,48.000000,0.005260
64,96.000000,0.005119,64,96.000000,0.004979
128,192.000000,0.005140,128,192.000000,0.005010
256,384.000000,0.004328,256,384.000000,0.004689
512,768.000000,0.004479,512,768.000000,0.005209
1024,1536.000000,0.005010,1024,1536.000000,0.006011
2048,3072.000000,0.005591,2048,3072.000000,0.004218
4096,6144.000000,0.004679,4096,6144.000000,0.005340
8192,12288.000000,0.004919,8192,12288.000000,0.005521
