input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.006144,4,6.000000,0.006144
8,12.000000,0.005120,8,12.000000,0.006144
16,24.000000,0.006144,16,24.000000,0.006144
32,48.000000,0.006144,32,48.000000,0.006144
64,96.000000,0.006144,64,96.000000,0.006144
128,192.000000,0.005120,128,192.000000,0.006144
256,384.000000,0.005120,256,384.000000,0.006144
512,768.000000,0.005120,512,768.000000,0.006144
1024,1536.000000,0.006144,1024,1536.000000,0.006144
2048,3072.000000,0.007168,2048,3072.000000,0.006144
4096,6144.000000,0.006144,4096,6144.000000,0.010240
8192,12288.000000,0.013312,8192,12288.000000,0.009216
