input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.006144,4,6.000000,0.006144
8,12.000000,0.005120,8,12.000000,0.005120
16,24.000000,0.006144,16,24.000000,0.006144
32,48.000000,0.006144,32,48.000000,0.006144
64,96.000000,0.008192,64,96.000000,0.006144
128,192.000000,0.009216,128,192.000000,0.010240
256,384.000000,0.013312,256,384.000000,0.012288
512,768.000000,0.021504,512,768.000000,0.018432
1024,1536.000000,0.038912,1024,1536.000000,0.029696
2048,3072.000000,0.063488,2048,3072.000000,0.065536
4096,6144.000000,0.120832,4096,6144.000000,0.125952
8192,12288.000000,0.236544,8192,12288.000000,0.246784
