input,output_cf1,time_cf1,output_cf2,time_cf2,output_cf3,time_cf3,output_cf4,time_cf4,output_cf5,time_cf5,output_cf6,time_cf6,output_cf7,time_cf7,output_cf8,time_cf8,output_cf9,time_cf9,output_cf10,time_cf10,output_cf11,time_cf11,output_cf12,time_cf12,output_cf13,time_cf13,output_cf14,time_cf14,output_cf15,time_cf15,output_cf16,time_cf16
4,6.000000,0.007168,6.000000,0.007168,6.000000,0.008192,6.000000,0.007168,6.000000,0.008192,6.000000,0.008192,6.000000,0.008192,6.000000,0.008192,6.000000,0.008192,6.000000,0.008192,6.000000,0.009216,6.000000,0.009216,6.000000,0.009216,6.000000,0.009216,6.000000,0.009216,6.000000,0.010240
8,12.000000,0.007168,12.000000,0.007168,12.000000,0.008192,12.000000,0.008192,12.000000,0.008192,12.000000,0.008192,12.000000,0.008192,12.000000,0.008192,12.000000,0.008192,12.000000,0.009216,12.000000,0.008192,12.000000,0.009216,12.000000,0.009216,12.000000,0.009216,12.000000,0.009216,12.000000,0.009216
16,24.000000,0.007168,24.000000,0.008192,24.000000,0.007168,24.000000,0.008192,24.000000,0.007168,24.000000,0.008192,24.000000,0.008192,24.000000,0.008192,24.000000,0.009216,24.000000,0.008192,24.000000,0.009216,24.000000,0.009216,24.000000,0.009216,24.000000,0.009216,24.000000,0.009216,24.000000,0.009216
32,48.000000,0.007168,48.000000,0.007168,48.000000,0.007168,48.000000,0.007168,48.000000,0.008192,48.000000,0.008192,48.000000,0.008192,48.000000,0.008192,48.000000,0.009216,48.000000,0.008192,48.000000,0.008192,48.000000,0.008192,48.000000,0.008192,48.000000,0.009216,48.000000,0.009216,48.000000,0.009216
64,96.000000,0.007168,96.000000,0.007168,96.000000,0.008192,96.000000,0.007168,96.000000,0.008192,96.000000,0.008192,96.000000,0.007168,96.000000,0.008192,96.000000,0.008192,96.000000,0.009216,96.000000,0.008192,96.000000,0.009216,96.000000,0.008192,96.000000,0.009216,96.000000,0.009216,96.000000,0.009216
128,192.000000,0.007168,192.000000,0.007168,192.000000,0.008192,192.000000,0.008192,192.000000,0.008192,192.000000,0.008192,192.000000,0.008192,192.000000,0.008192,192.000000,0.008192,192.000000,0.009216,192.000000,0.008192,192.000000,0.008192,192.000000,0.009216,192.000000,0.009216,192.000000,0.010240,192.000000,0.009216
256,384.000000,0.007168,384.000000,0.008192,384.000000,0.007168,384.000000,0.007168,384.000000,0.007168,384.000000,0.008192,384.000000,0.008192,384.000000,0.008192,384.000000,0.009216,384.000000,0.008192,384.000000,0.008192,384.000000,0.008192,384.000000,0.009216,384.000000,0.009216,384.000000,0.010240,384.000000,0.010240
512,768.000000,0.007168,768.000000,0.007168,768.000000,0.007168,768.000000,0.008192,768.000000,0.008192,768.000000,0.007168,768.000000,0.008192,768.000000,0.008192,768.000000,0.008192,768.000000,0.008192,768.000000,0.008192,768.000000,0.008192,768.000000,0.009216,768.000000,0.012288,768.000000,0.009216,768.000000,0.009216
1024,1536.000000,0.007168,1536.000000,0.008192,1536.000000,0.008192,1536.000000,0.007168,1536.000000,0.008192,1536.000000,0.008192,1536.000000,0.008192,1536.000000,0.009216,1536.000000,0.009216,1536.000000,0.009216,1536.000000,0.008192,1536.000000,0.009216,1536.000000,0.009216,1536.000000,0.010240,1536.000000,0.009216,1536.000000,0.009216
2048,3072.000000,0.007168,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.008192,3072.000000,0.009216,3072.000000,0.009216,3072.000000,0.009216,3072.000000,0.009216,3072.000000,0.009216,3072.000000,0.009216,3072.000000,0.010240,3072.000000,0.010240
4096,6144.000000,0.007168,6144.000000,0.007168,6144.000000,0.008192,6144.000000,0.008192,6144.000000,0.008192,6144.000000,0.008192,6144.000000,0.008192,6144.000000,0.009216,6144.000000,0.009216,6144.000000,0.010240,6144.000000,0.009216,6144.000000,0.009216,6144.000000,0.010240,6144.000000,0.010240,6144.000000,0.010240,6144.000000,0.010240
8192,12288.000000,0.007168,12288.000000,0.007168,12288.000000,0.009216,12288.000000,0.009216,12288.000000,0.009216,12288.000000,0.010240,12288.000000,0.009216,12288.000000,0.010240,12288.000000,0.010240,12288.000000,0.010240,12288.000000,0.010240,12288.000000,0.010240,12288.000000,0.011264,12288.000000,0.011264,12288.000000,0.012288,12288.000000,0.011264
