input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.034816,4,6.000000,0.030720
8,12.000000,0.031744,8,12.000000,0.029696
16,24.000000,0.031744,16,24.000000,0.028672
32,48.000000,0.033792,32,48.000000,0.030720
64,96.000000,0.030720,64,96.000000,0.031744
128,192.000000,0.031744,128,192.000000,0.030720
256,384.000000,0.031744,256,384.000000,0.030720
512,768.000000,0.031744,512,768.000000,0.028672
1024,1536.000000,0.032768,1024,1536.000000,0.031744
2048,3072.000000,0.031744,2048,3072.000000,0.030720
4096,6144.000000,0.030720,4096,6144.000000,0.062464
8192,12288.000000,0.074752,8192,12288.000000,0.031744
