input_single, output_single, time_single_ms, input_double, output_double, time_double_ms
2, 3.000000, 0.824320, 2, 3.000000, 0.040960
4, 6.000000, 0.006144, 4, 6.000000, 0.006144
8, 12.000000, 0.005120, 8, 12.000000, 0.005120
16, 24.000000, 0.006144, 16, 24.000000, 0.006144
32, 48.000000, 0.006144, 32, 48.000000, 0.006144
64, 96.000000, 0.008192, 64, 96.000000, 0.006144
128, 192.000000, 0.009216, 128, 192.000000, 0.010240
256, 384.000000, 0.013312, 256, 384.000000, 0.012288
512, 768.000000, 0.021504, 512, 768.000000, 0.018432
1024, 1536.000000, 0.038912, 1024, 1536.000000, 0.029696
2048, 3072.000000, 0.063488, 2048, 3072.000000, 0.065536
4096, 6144.000000, 0.120832, 4096, 6144.000000, 0.125952
8192, 12288.000000, 0.236544, 8192, 12288.000000, 0.246784
16384, 24576.000000, 0.463872, 16384, 24576.000000, 0.487424
32768, 49152.000000, 0.917504, 32768, 49152.000000, 1.317888
65536, 98304.000000, 1.848320, 65536, 98304.000000, 3.041280
131072, 196608.000000, 3.691520, 131072, 196608.000000, 6.457344
262144, 393216.000000, 7.376896, 262144, 393216.000000, 7.759872
524288, 786432.000000, 14.768128, 524288, 786432.000000, 15.485952
1048576, 1572864.000000, 29.518848, 1048576, 1572864.000000, 30.960640
2097152, 3145728.000000, 59.032578, 2097152, 3145728.000000, 61.970432
4194304, 6291456.000000, 103.952385, 4194304, 6291456.000000, 164.675583
8388608, 12582912.000000, 258.029572, 8388608, 12582912.000000, 453.719055
16777216, 27962024.000000, 618.782715, 16777216, 25165824.000000, 907.586548
33554432, 61516456.000000, 1237.436401, 33554432, 50331648.000000, 1815.117798
67108864, 67108864.000000, 2474.752930, 67108864, 100663296.000000, 3630.579834
134217728, 67108864.000000, 4949.248047, 134217728, 201326592.000000, 7260.109863
268435456, 67108864.000000, 9898.379883, 268435456, 402653184.000000, 14525.896484
536870912, 67108864.000000, 19796.796875, 536870912, 805306368.000000, 29046.097656
1073741824, 67108864.000000, 39593.046875, 1073741824, 1610612736.000000, 58077.191406
