SINGLE PRECISION TESTING
-------------------------------------------------------------------
Input Size: 2 (0.000000 GB)
NO THREAD: 3.000000, 0.000056 ms
THREAD: 3.000000, 2.163683 ms
KERNEL 1: 3.000000, 1.462272 ms
KERNEL 2: 3.000000, 0.034240 ms
KERNEL 3: 3.000000, 0.040768 ms
KERNEL 4: 3.000000, 0.043232 ms
KERNEL 5: 3.000000, 0.029248 ms
KERNEL 6: 3.000000, 0.042880 ms
KERNEL 6: 3.000000, 0.010240 ms
KERNEL 6: 3.000000, 0.010400 ms
KERNEL 6: 3.000000, 0.011008 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.011264 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.008960 ms
KERNEL 6: 3.000000, 0.009216 ms
KERNEL 6: 3.000000, 0.009088 ms
KERNEL 6: 3.000000, 0.009056 ms
KERNEL 6: 3.000000, 0.009056 ms
KERNEL 6: 3.000000, 0.009216 ms
CUB::REDUCE: 3.000000, 0.054048 ms
THRUST::REDUCE: 3.000000, 0.110592 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 4 (0.000000 GB)
NO THREAD: 6.000000, 0.000072 ms
THREAD: 6.000000, 0.291547 ms
KERNEL 1: 6.000000, 0.009472 ms
KERNEL 2: 6.000000, 0.014496 ms
KERNEL 3: 6.000000, 0.009216 ms
KERNEL 4: 6.000000, 0.010272 ms
KERNEL 5: 6.000000, 0.010816 ms
KERNEL 6: 6.000000, 0.010240 ms
KERNEL 6: 6.000000, 0.010688 ms
KERNEL 6: 6.000000, 0.010592 ms
KERNEL 6: 6.000000, 0.011328 ms
KERNEL 6: 6.000000, 0.010976 ms
KERNEL 6: 6.000000, 0.010464 ms
KERNEL 6: 6.000000, 0.010944 ms
KERNEL 6: 6.000000, 0.010240 ms
KERNEL 6: 6.000000, 0.009344 ms
KERNEL 6: 6.000000, 0.009216 ms
KERNEL 6: 6.000000, 0.009888 ms
KERNEL 6: 6.000000, 0.009920 ms
KERNEL 6: 6.000000, 0.009984 ms
KERNEL 6: 6.000000, 0.010240 ms
KERNEL 6: 6.000000, 0.009760 ms
KERNEL 6: 6.000000, 0.009216 ms
CUB::REDUCE: 6.000000, 0.011328 ms
THRUST::REDUCE: 6.000000, 0.064736 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 8 (0.000000 GB)
NO THREAD: 12.000000, 0.000074 ms
THREAD: 12.000000, 0.221897 ms
KERNEL 1: 12.000000, 0.011264 ms
KERNEL 2: 12.000000, 0.016608 ms
KERNEL 3: 12.000000, 0.009280 ms
KERNEL 4: 12.000000, 0.024576 ms
KERNEL 5: 12.000000, 0.012512 ms
KERNEL 6: 12.000000, 0.010272 ms
KERNEL 6: 12.000000, 0.017408 ms
KERNEL 6: 12.000000, 0.010240 ms
KERNEL 6: 12.000000, 0.011168 ms
KERNEL 6: 12.000000, 0.010432 ms
KERNEL 6: 12.000000, 0.009216 ms
KERNEL 6: 12.000000, 0.011296 ms
KERNEL 6: 12.000000, 0.009536 ms
KERNEL 6: 12.000000, 0.009536 ms
KERNEL 6: 12.000000, 0.009856 ms
KERNEL 6: 12.000000, 0.010144 ms
KERNEL 6: 12.000000, 0.009216 ms
KERNEL 6: 12.000000, 0.010240 ms
KERNEL 6: 12.000000, 0.010240 ms
KERNEL 6: 12.000000, 0.010240 ms
KERNEL 6: 12.000000, 0.009216 ms
CUB::REDUCE: 12.000000, 0.010240 ms
THRUST::REDUCE: 12.000000, 0.097280 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 16 (0.000000 GB)
NO THREAD: 24.000000, 0.000089 ms
THREAD: 24.000000, 1.168948 ms
KERNEL 1: 24.000000, 0.009504 ms
KERNEL 2: 24.000000, 0.017088 ms
KERNEL 3: 24.000000, 0.010240 ms
KERNEL 4: 24.000000, 0.010688 ms
KERNEL 5: 24.000000, 0.010464 ms
KERNEL 6: 24.000000, 0.010720 ms
KERNEL 6: 24.000000, 0.013312 ms
KERNEL 6: 24.000000, 0.010656 ms
KERNEL 6: 24.000000, 0.013312 ms
KERNEL 6: 24.000000, 0.014016 ms
KERNEL 6: 24.000000, 0.013312 ms
KERNEL 6: 24.000000, 0.014112 ms
KERNEL 6: 24.000000, 0.013408 ms
KERNEL 6: 24.000000, 0.013408 ms
KERNEL 6: 24.000000, 0.014496 ms
KERNEL 6: 24.000000, 0.013856 ms
KERNEL 6: 24.000000, 0.012288 ms
KERNEL 6: 24.000000, 0.013664 ms
KERNEL 6: 24.000000, 0.012256 ms
KERNEL 6: 24.000000, 0.014112 ms
KERNEL 6: 24.000000, 0.012384 ms
CUB::REDUCE: 24.000000, 0.015360 ms
THRUST::REDUCE: 24.000000, 0.096352 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 32 (0.000000 GB)
NO THREAD: 48.000000, 0.000125 ms
THREAD: 48.000000, 0.182099 ms
KERNEL 1: 48.000000, 0.010240 ms
KERNEL 2: 48.000000, 0.022112 ms
KERNEL 3: 48.000000, 0.010944 ms
KERNEL 4: 48.000000, 0.011488 ms
KERNEL 5: 48.000000, 0.011072 ms
KERNEL 6: 48.000000, 0.012320 ms
KERNEL 6: 48.000000, 0.014272 ms
KERNEL 6: 48.000000, 0.013312 ms
KERNEL 6: 48.000000, 0.013312 ms
KERNEL 6: 48.000000, 0.011264 ms
KERNEL 6: 48.000000, 0.015072 ms
KERNEL 6: 48.000000, 0.013408 ms
KERNEL 6: 48.000000, 0.013504 ms
KERNEL 6: 48.000000, 0.013600 ms
KERNEL 6: 48.000000, 0.012096 ms
KERNEL 6: 48.000000, 0.012288 ms
